workload,T_sec,pages,write_cold_pct,cold_pct,windows_averaged,cold_method,write_cold_sd,cold_sd,freed_pct
pagerank (kron22),5,140331,95.93,0.67,3,smaps_referenced,2.40,0.00,1.55
pagerank (kron22),10,140331,95.93,0.67,3,smaps_referenced,2.40,0.00,1.91
pagerank (kron22),20,140331,95.93,0.59,3,smaps_referenced,2.40,0.11,3.25
pagerank (kron22),30,140331,95.93,0.59,3,smaps_referenced,2.40,0.11,3.23
pagerank (kron22),45,140331,95.93,0.58,3,smaps_referenced,2.40,0.12,3.34
pagerank (kron22),60,140331,95.93,0.33,3,smaps_referenced,2.40,0.24,3.38
pagerank (kron22),90,140331,95.93,0.14,3,smaps_referenced,2.40,0.04,1.52
pagerank (kron22),120,140331,95.93,0.14,3,smaps_referenced,2.40,0.04,0.00
pagerank (kron22),180,140331,95.93,0.14,3,smaps_referenced,2.40,0.04,1.91
pagerank (kron22),240,140331,95.93,0.14,3,smaps_referenced,2.40,0.04,2.11
pagerank (kron22),300,140331,95.93,0.14,3,smaps_referenced,2.40,0.04,1.57
pagerank (kron22),360,140331,95.93,0.14,3,smaps_referenced,2.40,0.04,1.91
pagerank (kron22),480,140331,95.93,0.14,3,smaps_referenced,2.40,0.04,0.03
pagerank (kron22),600,140331,95.93,0.14,3,smaps_referenced,2.40,0.04,0.00
